Array IDX,Name,Card 1,Card 2,Shape,Hand,Rank
84,KsQh,Ks,Qh,Offsuit,KQo,20
85,Ad9h,Ad,9h,Offsuit,A9o,76
86,7c2d,7c,2d,Offsuit,72o,169
87,AdJh,Ad,Jh,Offsuit,AJo,27
88,Qs3d,Qs,3d,Offsuit,Q3o,144
89,Jc9h,Jc,9h,Offsuit,J9o,80
90,Jh7d,Jh,7d,Offsuit,J7o,129
91,9d5s,9d,5s,Offsuit,95o,150
92,8d3s,8d,3s,Offsuit,83o,167
93,Kc3c,Kc,3c,Suited,K3s,59
94,Ah4s,Ah,4s,Offsuit,A4o,104
95,3c2h,3c,2h,Offsuit,32o,159
96,Qd7c,Qd,7c,Offsuit,Q7o,131
97,Qh8h,Qh,8h,Suited,Q8s,43
98,Jd8h,Jd,8h,Offsuit,J8o,108
99,7c2h,7c,2h,Offsuit,72o,169
100,QsJs,Qs,Js,Suited,QJs,13
101,Kc4d,Kc,4d,Offsuit,K4o,132
102,QhTd,Qh,Td,Offsuit,QTo,49
103,Ad7s,Ad,7s,Offsuit,A7o,102
104,Ad9c,Ad,9c,Offsuit,A9o,76
105,Jc5s,Jc,5s,Offsuit,J5o,149
106,Ah3d,Ah,3d,Offsuit,A3o,109
107,9s2h,9s,2h,Offsuit,92o,166
108,6s3c,6s,3c,Offsuit,63o,148
109,8s4d,8s,4d,Offsuit,84o,156
110,Ah5d,Ah,5d,Offsuit,A5o,101
111,Td9c,Td,9c,Offsuit,T9o,73
112,5s4c,5s,4c,Offsuit,54o,127
113,3d2s,3d,2s,Offsuit,32o,159
114,Js8c,Js,8c,Offsuit,J8o,108
115,Kc4c,Kc,4c,Suited,K4s,58
116,Qd2h,Qd,2h,Offsuit,Q2o,146
117,6s6d,6d,6s,Pair,66,36
118,9h2c,9h,2c,Offsuit,92o,166
119,7s4s,7s,4s,Suited,74s,85
120,AhJc,Ah,Jc,Offsuit,AJo,27
121,Qh5d,Qh,5d,Offsuit,Q5o,141
122,Qh8d,Qh,8d,Offsuit,Q8o,115
123,9d2h,9d,2h,Offsuit,92o,166
124,Jh9s,Jh,9s,Offsuit,J9o,80
125,Ks3h,Ks,3h,Offsuit,K3o,133
126,7h2s,7h,2s,Offsuit,72o,169
127,As8c,As,8c,Offsuit,A8o,91
128,Qs7d,Qs,7d,Offsuit,Q7o,131
129,9s3s,9s,3s,Suited,93s,107
130,Js3d,Js,3d,Offsuit,J3o,153
131,Kh5d,Kh,5d,Offsuit,K5o,128
132,AcJc,Ac,Jc,Suited,AJs,8
133,KdJc,Kd,Jc,Offsuit,KJo,31
134,KhJd,Kh,Jd,Offsuit,KJo,31
135,9h5h,9h,5h,Suited,95s,88
136,6d4d,6d,4d,Suited,64s,70
137,Ad7d,Ad,7d,Suited,A7s,30
138,7s7d,7d,7s,Pair,77,29
139,9c6s,9c,6s,Offsuit,96o,134
140,8c5s,8c,5s,Offsuit,85o,139
141,9s7h,9s,7h,Offsuit,97o,119
142,Ac3h,Ac,3h,Offsuit,A3o,109
143,KhJc,Kh,Jc,Offsuit,KJo,31
144,9d3d,9d,3d,Suited,93s,107
145,Th3s,Th,3s,Offsuit,T3o,160
146,Qh6c,Qh,6c,Offsuit,Q6o,137
147,Tc4s,Tc,4s,Offsuit,T4o,158
148,KhTh,Kh,Th,Suited,KTs,14
149,5h2s,5h,2s,Offsuit,52o,151
150,8d8c,8c,8d,Pair,88,21
151,Qh9c,Qh,9c,Offsuit,Q9o,83
152,Qs9s,Qs,9s,Suited,Q9s,25
153,KsJd,Ks,Jd,Offsuit,KJo,31
154,QcTs,Qc,Ts,Offsuit,QTo,49
155,Jc6s,Jc,6s,Offsuit,J6o,147
156,6c2h,6c,2h,Offsuit,62o,163
157,6h4c,6h,4c,Offsuit,64o,136
158,Js5d,Js,5d,Offsuit,J5o,149
159,Kd4h,Kd,4h,Offsuit,K4o,132
160,9h4h,9h,4h,Suited,94s,106
161,Qd3s,Qd,3s,Offsuit,Q3o,144
162,9d3c,9d,3c,Offsuit,93o,165
163,Ac9c,Ac,9c,Suited,A9s,19
164,Kd2h,Kd,2h,Offsuit,K2o,135
165,6h4d,6h,4d,Offsuit,64o,136
166,9c7s,9c,7s,Offsuit,97o,119
167,JdTs,Jd,Ts,Offsuit,JTo,47
168,9h3d,9h,3d,Offsuit,93o,165
169,8d7s,8d,7s,Offsuit,87o,114
170,Qc2c,Qc,2c,Suited,Q2s,75
171,5s2d,5s,2d,Offsuit,52o,151
172,Ac4s,Ac,4s,Offsuit,A4o,104
173,9c2s,9c,2s,Offsuit,92o,166
174,AsKd,As,Kd,Offsuit,AKo,11
175,AcJh,Ac,Jh,Offsuit,AJo,27
176,Ts6c,Ts,6c,Offsuit,T6o,140
177,KhQd,Kh,Qd,Offsuit,KQo,20
178,Ah8s,Ah,8s,Offsuit,A8o,91
179,Ks8c,Ks,8c,Offsuit,K8o,112
180,Kh6s,Kh,6s,Offsuit,K6o,125
181,Ks5h,Ks,5h,Offsuit,K5o,128
182,Js4s,Js,4s,Suited,J4s,86
183,9h6d,9h,6d,Offsuit,96o,134
184,5d4d,5d,4d,Suited,54s,65
185,QhTs,Qh,Ts,Offsuit,QTo,49
186,QsJc,Qs,Jc,Offsuit,QJo,35
187,AsJd,As,Jd,Offsuit,AJo,27
188,8s3s,8s,3s,Suited,83s,116
189,Ad8h,Ad,8h,Offsuit,A8o,91
190,8c4d,8c,4d,Offsuit,84o,156
191,Td8c,Td,8c,Offsuit,T8o,100
192,Th5c,Th,5c,Offsuit,T5o,157
193,8s5c,8s,5c,Offsuit,85o,139
194,9s2d,9s,2d,Offsuit,92o,166
195,Kh3s,Kh,3s,Offsuit,K3o,133
196,5d3d,5d,3d,Suited,53s,77
197,6d4s,6d,4s,Offsuit,64o,136
198,Kh6d,Kh,6d,Offsuit,K6o,125
199,Jd4h,Jd,4h,Offsuit,J4o,152
200,Qs9h,Qs,9h,Offsuit,Q9o,83
201,9d8s,9d,8s,Offsuit,98o,99
202,Qc4s,Qc,4s,Offsuit,Q4o,143
203,QcJs,Qc,Js,Offsuit,QJo,35
204,Ac8d,Ac,8d,Offsuit,A8o,91
205,9h8s,9h,8s,Offsuit,98o,99
206,Td5h,Td,5h,Offsuit,T5o,157
207,8s4c,8s,4c,Offsuit,84o,156
208,9d9c,9c,9d,Pair,99,17
209,As5s,As,5s,Suited,A5s,28
210,Kc8c,Kc,8c,Suited,K8s,37
211,7c4s,7c,4s,Offsuit,74o,145
212,AsJh,As,Jh,Offsuit,AJo,27
213,Qs5c,Qs,5c,Offsuit,Q5o,141
214,Td9s,Td,9s,Offsuit,T9o,73
215,Qh2s,Qh,2s,Offsuit,Q2o,146
216,4c2s,4c,2s,Offsuit,42o,154
217,6c2d,6c,2d,Offsuit,62o,163
218,Ts8h,Ts,8h,Offsuit,T8o,100
219,9h4c,9h,4c,Offsuit,94o,164
220,5s5d,5d,5s,Pair,55,46
221,Kh4h,Kh,4h,Suited,K4s,58
222,Qh7s,Qh,7s,Offsuit,Q7o,131
223,Kd8s,Kd,8s,Offsuit,K8o,112
224,Ad4d,Ad,4d,Suited,A4s,32
225,Kh5c,Kh,5c,Offsuit,K5o,128
226,8c6h,8c,6h,Offsuit,86o,126
227,Tc7c,Tc,7c,Suited,T7s,57
228,Kc2s,Kc,2s,Offsuit,K2o,135
229,Td5c,Td,5c,Offsuit,T5o,157
230,6h3d,6h,3d,Offsuit,63o,148
231,QhJh,Qh,Jh,Suited,QJs,13
232,Th9s,Th,9s,Offsuit,T9o,73
233,Kh2c,Kh,2c,Offsuit,K2o,135
234,5c3d,5c,3d,Offsuit,53o,138
235,Ad6s,Ad,6s,Offsuit,A6o,113
236,Kc7s,Kc,7s,Offsuit,K7o,122
237,8h4h,8h,4h,Suited,84s,94
238,7s3c,7s,3c,Offsuit,73o,161
239,Jh3c,Jh,3c,Offsuit,J3o,153
240,Qc7s,Qc,7s,Offsuit,Q7o,131
241,As3d,As,3d,Offsuit,A3o,109
242,Ts4d,Ts,4d,Offsuit,T4o,158
243,Td3h,Td,3h,Offsuit,T3o,160
244,8d7d,8d,7d,Suited,87s,48
245,9c3c,9c,3c,Suited,93s,107
246,6h5s,6h,5s,Offsuit,65o,123
247,5d5c,5c,5d,Pair,55,46
248,Jd2h,Jd,2h,Offsuit,J2o,155
249,Ts9d,Ts,9d,Offsuit,T9o,73
250,Ah7s,Ah,7s,Offsuit,A7o,102
251,Jh2d,Jh,2d,Offsuit,J2o,155
252,Jd7d,Jd,7d,Suited,J7s,64
253,4s2h,4s,2h,Offsuit,42o,154
254,QdJs,Qd,Js,Offsuit,QJo,35
255,Jc9c,Jc,9c,Suited,J9s,26
256,6s4c,6s,4c,Offsuit,64o,136
257,3s3c,3c,3s,Pair,33,51
258,8c6s,8c,6s,Offsuit,86o,126
259,Tc2c,Tc,2c,Suited,T2s,98
260,Ac3d,Ac,3d,Offsuit,A3o,109
261,TdTc,Tc,Td,Pair,TT,10
262,8d5c,8d,5c,Offsuit,85o,139
263,3h2c,3h,2c,Offsuit,32o,159
264,KcTd,Kc,Td,Offsuit,KTo,45
265,Ks2h,Ks,2h,Offsuit,K2o,135
266,3h2s,3h,2s,Offsuit,32o,159
267,Qd4c,Qd,4c,Offsuit,Q4o,143
268,AsQc,As,Qc,Offsuit,AQo,18
269,Qh4d,Qh,4d,Offsuit,Q4o,143
270,7d6c,7d,6c,Offsuit,76o,121
271,Qh8s,Qh,8s,Offsuit,Q8o,115
272,AsAh,Ah,As,Pair,AA,1
273,7s5d,7s,5d,Offsuit,75o,130
274,Kc9s,Kc,9s,Offsuit,K9o,81
275,5s5h,5h,5s,Pair,55,46
276,8d4d,8d,4d,Suited,84s,94
277,Js5s,Js,5s,Suited,J5s,82
278,QdTs,Qd,Ts,Offsuit,QTo,49
279,Ah8h,Ah,8h,Suited,A8s,24
280,Ac4d,Ac,4d,Offsuit,A4o,104
281,AsKc,As,Kc,Offsuit,AKo,11
282,Tc6s,Tc,6s,Offsuit,T6o,140
283,9c5c,9c,5c,Suited,95s,88
284,AsTd,As,Td,Offsuit,ATo,42
285,8d6s,8d,6s,Offsuit,86o,126
286,JsJd,Jd,Js,Pair,JJ,5
287,Qd5d,Qd,5d,Suited,Q5s,69
288,AdKd,Ad,Kd,Suited,AKs,4
289,Td6h,Td,6h,Offsuit,T6o,140
290,QsTh,Qs,Th,Offsuit,QTo,49
291,Kc5s,Kc,5s,Offsuit,K5o,128
292,4c3s,4c,3s,Offsuit,43o,142
293,Kc2h,Kc,2h,Offsuit,K2o,135
294,6c3c,6c,3c,Suited,63s,90
295,Tc5c,Tc,5c,Suited,T5s,93
296,7h4h,7h,4h,Suited,74s,85
297,QhQc,Qc,Qh,Pair,QQ,3
298,Qd8c,Qd,8c,Offsuit,Q8o,115
299,Ah4d,Ah,4d,Offsuit,A4o,104
300,AsQs,As,Qs,Suited,AQs,6
301,Ts5c,Ts,5c,Offsuit,T5o,157
302,9c3h,9c,3h,Offsuit,93o,165
303,Tc9c,Tc,9c,Suited,T9s,23
304,5h4s,5h,4s,Offsuit,54o,127
305,Ts5d,Ts,5d,Offsuit,T5o,157
306,KsJc,Ks,Jc,Offsuit,KJo,31
307,4s3c,4s,3c,Offsuit,43o,142
308,Ts3s,Ts,3s,Suited,T3s,96
309,Jc6d,Jc,6d,Offsuit,J6o,147
310,7d6s,7d,6s,Offsuit,76o,121
311,Kc4s,Kc,4s,Offsuit,K4o,132
312,Qc3c,Qc,3c,Suited,Q3s,72
313,Ks4c,Ks,4c,Offsuit,K4o,132
314,8s3c,8s,3c,Offsuit,83o,167
315,Td7h,Td,7h,Offsuit,T7o,124
316,9s3c,9s,3c,Offsuit,93o,165
317,Qc9h,Qc,9h,Offsuit,Q9o,83
318,7d2d,7d,2d,Suited,72s,120
319,QsQc,Qc,Qs,Pair,QQ,3
320,As3c,As,3c,Offsuit,A3o,109
321,3d2c,3d,2c,Offsuit,32o,159
322,4h2s,4h,2s,Offsuit,42o,154
323,Js2h,Js,2h,Offsuit,J2o,155
324,7c3c,7c,3c,Suited,73s,103
325,Jd9d,Jd,9d,Suited,J9s,26
326,7d2h,7d,2h,Offsuit,72o,169
327,5c4c,5c,4c,Suited,54s,65
328,Jh6d,Jh,6d,Offsuit,J6o,147
329,Jd9h,Jd,9h,Offsuit,J9o,80
330,8c3h,8c,3h,Offsuit,83o,167
331,Kh9s,Kh,9s,Offsuit,K9o,81
332,Ah4c,Ah,4c,Offsuit,A4o,104
333,9h2d,9h,2d,Offsuit,92o,166
334,Qc5d,Qc,5d,Offsuit,Q5o,141
335,4s4d,4d,4s,Pair,44,50
336,AhKs,Ah,Ks,Offsuit,AKo,11
337,Qd3d,Qd,3d,Suited,Q3s,72
338,9c7h,9c,7h,Offsuit,97o,119
339,5d2d,5d,2d,Suited,52s,92
340,5s2s,5s,2s,Suited,52s,92
341,Kc9d,Kc,9d,Offsuit,K9o,81
342,AhJs,Ah,Js,Offsuit,AJo,27
343,9h6c,9h,6c,Offsuit,96o,134
344,5d3h,5d,3h,Offsuit,53o,138
345,5s3s,5s,3s,Suited,53s,77
346,6c4d,6c,4d,Offsuit,64o,136
347,QcTc,Qc,Tc,Suited,QTs,15
348,Kd5h,Kd,5h,Offsuit,K5o,128
349,Jc8s,Jc,8s,Offsuit,J8o,108
350,Ts9s,Ts,9s,Suited,T9s,23
351,7d6d,7d,6d,Suited,76s,56
352,Jc2d,Jc,2d,Offsuit,J2o,155
353,9s5d,9s,5d,Offsuit,95o,150
354,8h4c,8h,4c,Offsuit,84o,156
355,AcKd,Ac,Kd,Offsuit,AKo,11
356,8h5h,8h,5h,Suited,85s,78
357,Jc6c,Jc,6c,Suited,J6s,79
358,4c3h,4c,3h,Offsuit,43o,142
359,QsTd,Qs,Td,Offsuit,QTo,49
360,9h6s,9h,6s,Offsuit,96o,134
361,Td5d,Td,5d,Suited,T5s,93
362,Tc3d,Tc,3d,Offsuit,T3o,160
363,5h4c,5h,4c,Offsuit,54o,127
364,5h2h,5h,2h,Suited,52s,92
365,Ad2c,Ad,2c,Offsuit,A2o,117
366,Tc3c,Tc,3c,Suited,T3s,96
367,Th8h,Th,8h,Suited,T8s,38
368,4d2h,4d,2h,Offsuit,42o,154
369,6d3s,6d,3s,Offsuit,63o,148
370,Ah5s,Ah,5s,Offsuit,A5o,101
371,9c6c,9c,6c,Suited,96s,68
372,AhJd,Ah,Jd,Offsuit,AJo,27
373,AsAd,Ad,As,Pair,AA,1
374,Ac2d,Ac,2d,Offsuit,A2o,117
375,8c5d,8c,5d,Offsuit,85o,139
376,KhQc,Kh,Qc,Offsuit,KQo,20
377,Tc9s,Tc,9s,Offsuit,T9o,73
378,6h5d,6h,5d,Offsuit,65o,123
379,Ts7s,Ts,7s,Suited,T7s,57
380,9c7c,9c,7c,Suited,97s,54
381,Js8s,Js,8s,Suited,J8s,41
382,Jh9d,Jh,9d,Offsuit,J9o,80
383,5h3h,5h,3h,Suited,53s,77
384,Ks7h,Ks,7h,Offsuit,K7o,122
385,Ts2h,Ts,2h,Offsuit,T2o,162
386,9s4c,9s,4c,Offsuit,94o,164
387,Ks9d,Ks,9d,Offsuit,K9o,81
388,7d3c,7d,3c,Offsuit,73o,161
389,8h6c,8h,6c,Offsuit,86o,126
390,3s2d,3s,2d,Offsuit,32o,159
391,Th8d,Th,8d,Offsuit,T8o,100
392,6h4h,6h,4h,Suited,64s,70
393,Jc3s,Jc,3s,Offsuit,J3o,153
394,Jc9s,Jc,9s,Offsuit,J9o,80
395,4d3c,4d,3c,Offsuit,43o,142
396,Ts8d,Ts,8d,Offsuit,T8o,100
397,Ad2d,Ad,2d,Suited,A2s,39
398,Jd7h,Jd,7h,Offsuit,J7o,129
399,AdQs,Ad,Qs,Offsuit,AQo,18
400,Td9h,Td,9h,Offsuit,T9o,73
401,Jd6s,Jd,6s,Offsuit,J6o,147
402,7d4d,7d,4d,Suited,74s,85
403,Jc4c,Jc,4c,Suited,J4s,86
404,8h7h,8h,7h,Suited,87s,48
405,9c2d,9c,2d,Offsuit,92o,166
406,Th9h,Th,9h,Suited,T9s,23
407,Jc9d,Jc,9d,Offsuit,J9o,80
408,Ac3c,Ac,3c,Suited,A3s,33
409,6s3d,6s,3d,Offsuit,63o,148
410,9d6d,9d,6d,Suited,96s,68
411,9c8d,9c,8d,Offsuit,98o,99
412,9h4d,9h,4d,Offsuit,94o,164
413,AdQh,Ad,Qh,Offsuit,AQo,18
414,9s6c,9s,6c,Offsuit,96o,134
415,Ah9d,Ah,9d,Offsuit,A9o,76
416,Kc9h,Kc,9h,Offsuit,K9o,81
417,4s2c,4s,2c,Offsuit,42o,154
418,9d7s,9d,7s,Offsuit,97o,119
419,8h2s,8h,2s,Offsuit,82o,168
420,Js9d,Js,9d,Offsuit,J9o,80
421,AhQs,Ah,Qs,Offsuit,AQo,18
422,JcTh,Jc,Th,Offsuit,JTo,47
423,3s3h,3h,3s,Pair,33,51
424,As7d,As,7d,Offsuit,A7o,102
425,8h3h,8h,3h,Suited,83s,116
426,Td4h,Td,4h,Offsuit,T4o,158
427,Td2d,Td,2d,Suited,T2s,98
428,5h4d,5h,4d,Offsuit,54o,127
429,6c4c,6c,4c,Suited,64s,70
430,8d2s,8d,2s,Offsuit,82o,168
431,6d4h,6d,4h,Offsuit,64o,136
432,8c2s,8c,2s,Offsuit,82o,168
433,Qs2d,Qs,2d,Offsuit,Q2o,146
434,Th6s,Th,6s,Offsuit,T6o,140
435,Ah7d,Ah,7d,Offsuit,A7o,102
436,Ad4s,Ad,4s,Offsuit,A4o,104
437,8c6c,8c,6c,Suited,86s,62
438,6h5c,6h,5c,Offsuit,65o,123
439,QhJc,Qh,Jc,Offsuit,QJo,35
440,Kh5s,Kh,5s,Offsuit,K5o,128
441,As4s,As,4s,Suited,A4s,32
442,8h6h,8h,6h,Suited,86s,62
443,Jh7c,Jh,7c,Offsuit,J7o,129
444,Ac5h,Ac,5h,Offsuit,A5o,101
445,7s4d,7s,4d,Offsuit,74o,145
446,6d6c,6c,6d,Pair,66,36
447,8c2c,8c,2c,Suited,82s,118
448,Ac7d,Ac,7d,Offsuit,A7o,102
449,Js9s,Js,9s,Suited,J9s,26
450,6h6c,6c,6h,Pair,66,36
451,AdJc,Ad,Jc,Offsuit,AJo,27
452,9d8d,9d,8d,Suited,98s,40
453,5h3s,5h,3s,Offsuit,53o,138
454,Ah5c,Ah,5c,Offsuit,A5o,101
455,4h3d,4h,3d,Offsuit,43o,142
456,KhTd,Kh,Td,Offsuit,KTo,45
457,Js5h,Js,5h,Offsuit,J5o,149
458,Ac3s,Ac,3s,Offsuit,A3o,109
459,QsQd,Qd,Qs,Pair,QQ,3
460,4d2s,4d,2s,Offsuit,42o,154
461,6s5d,6s,5d,Offsuit,65o,123
462,7c3h,7c,3h,Offsuit,73o,161
463,9s9d,9d,9s,Pair,99,17
464,6h2s,6h,2s,Offsuit,62o,163
465,QhTc,Qh,Tc,Offsuit,QTo,49
466,KhTs,Kh,Ts,Offsuit,KTo,45
467,KdJh,Kd,Jh,Offsuit,KJo,31
468,KdTs,Kd,Ts,Offsuit,KTo,45
469,Ts6d,Ts,6d,Offsuit,T6o,140
470,KcJh,Kc,Jh,Offsuit,KJo,31
471,6s2s,6s,2s,Suited,62s,110
472,Kd7c,Kd,7c,Offsuit,K7o,122
473,Qh2c,Qh,2c,Offsuit,Q2o,146
474,AsJs,As,Js,Suited,AJs,8
475,Qs3c,Qs,3c,Offsuit,Q3o,144
476,TsTh,Th,Ts,Pair,TT,10
477,6d3h,6d,3h,Offsuit,63o,148
478,9c8h,9c,8h,Offsuit,98o,99
479,9h3h,9h,3h,Suited,93s,107
480,5c2d,5c,2d,Offsuit,52o,151
481,7s2h,7s,2h,Offsuit,72o,169
482,AsQd,As,Qd,Offsuit,AQo,18
483,Kc5c,Kc,5c,Suited,K5s,55
484,5h5c,5c,5h,Pair,55,46
485,Ks4s,Ks,4s,Suited,K4s,58
486,Qd8d,Qd,8d,Suited,Q8s,43
487,8h2c,8h,2c,Offsuit,82o,168
488,Jd6d,Jd,6d,Suited,J6s,79
489,Td4d,Td,4d,Suited,T4s,95
490,7c4d,7c,4d,Offsuit,74o,145
491,7d5h,7d,5h,Offsuit,75o,130
492,AcTd,Ac,Td,Offsuit,ATo,42
493,Js7h,Js,7h,Offsuit,J7o,129
494,6s4h,6s,4h,Offsuit,64o,136
495,Ts2c,Ts,2c,Offsuit,T2o,162
496,4c3c,4c,3c,Suited,43s,84
497,8s8h,8h,8s,Pair,88,21
498,Ks7s,Ks,7s,Suited,K7s,44
499,9s8h,9s,8h,Offsuit,98o,99
500,QdJh,Qd,Jh,Offsuit,QJo,35
501,Kc9c,Kc,9c,Suited,K9s,22
502,Jc3h,Jc,3h,Offsuit,J3o,153
503,4d3s,4d,3s,Offsuit,43o,142
504,6s6h,6h,6s,Pair,66,36
505,8d7h,8d,7h,Offsuit,87o,114
506,Jd9s,Jd,9s,Offsuit,J9o,80
507,Td8d,Td,8d,Suited,T8s,38
508,Qs4c,Qs,4c,Offsuit,Q4o,143
509,Ac6h,Ac,6h,Offsuit,A6o,113
510,8s4s,8s,4s,Suited,84s,94
511,7c4h,7c,4h,Offsuit,74o,145
512,7h2d,7h,2d,Offsuit,72o,169
513,5c3c,5c,3c,Suited,53s,77
514,Ac4c,Ac,4c,Suited,A4s,32
515,9c6d,9c,6d,Offsuit,96o,134
516,Qd2c,Qd,2c,Offsuit,Q2o,146
517,7s3d,7s,3d,Offsuit,73o,161
518,Jc8d,Jc,8d,Offsuit,J8o,108
519,5s4h,5s,4h,Offsuit,54o,127
520,Kh9h,Kh,9h,Suited,K9s,22
521,7d6h,7d,6h,Offsuit,76o,121
522,Jh3s,Jh,3s,Offsuit,J3o,153
523,AcKc,Ac,Kc,Suited,AKs,4
524,2h2d,2d,2h,Pair,22,52
525,KsQd,Ks,Qd,Offsuit,KQo,20
526,4d2c,4d,2c,Offsuit,42o,154
527,7d5s,7d,5s,Offsuit,75o,130
528,As5d,As,5d,Offsuit,A5o,101
529,Ks8d,Ks,8d,Offsuit,K8o,112
530,Qc7c,Qc,7c,Suited,Q7s,61
531,Jc2c,Jc,2c,Suited,J2s,89
532,Jc8c,Jc,8c,Suited,J8s,41
533,3d3c,3c,3d,Pair,33,51
534,JsTh,Js,Th,Offsuit,JTo,47
535,Qh8c,Qh,8c,Offsuit,Q8o,115
536,Tc7s,Tc,7s,Offsuit,T7o,124
537,Tc3h,Tc,3h,Offsuit,T3o,160
538,Qh3h,Qh,3h,Suited,Q3s,72
539,Ah7h,Ah,7h,Suited,A7s,30
540,QdTc,Qd,Tc,Offsuit,QTo,49
541,Qh9d,Qh,9d,Offsuit,Q9o,83
542,JcTs,Jc,Ts,Offsuit,JTo,47
543,KhQs,Kh,Qs,Offsuit,KQo,20
544,As4d,As,4d,Offsuit,A4o,104
545,Qd6h,Qd,6h,Offsuit,Q6o,137
546,8c6d,8c,6d,Offsuit,86o,126
547,Jc4h,Jc,4h,Offsuit,J4o,152
548,Jd3s,Jd,3s,Offsuit,J3o,153
549,Ad5h,Ad,5h,Offsuit,A5o,101
550,Qh9s,Qh,9s,Offsuit,Q9o,83
551,2s2h,2h,2s,Pair,22,52
552,Th5h,Th,5h,Suited,T5s,93
553,Td7d,Td,7d,Suited,T7s,57
554,JhJc,Jc,Jh,Pair,JJ,5
555,7s6c,7s,6c,Offsuit,76o,121
556,KsTs,Ks,Ts,Suited,KTs,14
